loan_id,gender_male,married_yes,dependents_1.0,dependents_2.0,dependents_3.0,self_employed_yes,credit_history_1.0,loan_amount,loan_amount_term,applicant_income,coapplicant_income,loan_status,total_income,EMI,balance_income
LP001002,1,0,0,0,0,0,1,128000000.0,360,5849,0.0,1,5849.0,355.6,5493.4
LP001003,1,1,1,0,0,0,1,128000000.0,360,4583,1508.0,0,6091.0,355.6,5735.4
LP001005,1,1,0,0,0,1,1,66000000.0,360,3000,0.0,1,3000.0,183.3,2816.7
LP001006,1,1,0,0,0,0,1,120000000.0,360,2583,2358.0,1,4941.0,333.3,4607.7
LP001008,1,0,0,0,0,0,1,141000000.0,360,6000,0.0,1,6000.0,391.7,5608.3
LP001011,1,1,0,1,0,1,1,267000000.0,360,5417,4196.0,1,9613.0,741.7,8871.3
LP001013,1,1,0,0,0,0,1,95000000.0,360,2333,1516.0,1,3849.0,263.9,3585.1
LP001014,1,1,0,0,1,0,0,158000000.0,360,3036,2504.0,0,5540.0,438.9,5101.1
LP001018,1,1,0,1,0,0,1,168000000.0,360,4006,1526.0,1,5532.0,466.7,5065.3
LP001020,1,1,1,0,0,0,1,349000000.0,360,12841,10968.0,0,23809.0,969.4,22839.6
LP001024,1,1,0,1,0,0,1,70000000.0,360,3200,700.0,1,3900.0,194.4,3705.6
LP001027,1,1,0,1,0,0,1,109000000.0,360,2500,1840.0,1,4340.0,302.8,4037.2
LP001028,1,1,0,1,0,0,1,200000000.0,360,3073,8106.0,1,11179.0,555.6,10623.4
LP001029,1,0,0,0,0,0,1,114000000.0,360,1853,2840.0,0,4693.0,316.7,4376.3
LP001030,1,1,0,1,0,0,1,17000000.0,120,1299,1086.0,1,2385.0,141.7,2243.3
LP001032,1,0,0,0,0,0,1,125000000.0,360,4950,0.0,1,4950.0,347.2,4602.8
LP001034,1,0,1,0,0,0,1,100000000.0,240,3596,0.0,1,3596.0,416.7,3179.3
LP001036,0,0,0,0,0,0,0,76000000.0,360,3510,0.0,0,3510.0,211.1,3298.9
LP001038,1,1,0,0,0,0,1,133000000.0,360,4887,0.0,0,4887.0,369.4,4517.6
LP001041,1,1,0,0,0,0,1,115000000.0,360,2600,3500.0,1,6100.0,319.4,5780.6
LP001043,1,1,0,0,0,0,0,104000000.0,360,7660,0.0,0,7660.0,288.9,7371.1
LP001046,1,1,1,0,0,0,1,315000000.0,360,5955,5625.0,1,11580.0,875.0,10705.0
LP001047,1,1,0,0,0,0,0,116000000.0,360,2600,1911.0,0,4511.0,322.2,4188.8
LP001050,1,1,0,1,0,0,0,112000000.0,360,3365,1917.0,0,5282.0,311.1,4970.9
LP001052,1,1,1,0,0,0,1,151000000.0,360,3717,2925.0,0,6642.0,419.4,6222.6
LP001066,1,1,0,0,0,1,1,191000000.0,360,9560,0.0,1,9560.0,530.6,9029.4
LP001068,1,1,0,0,0,0,1,122000000.0,360,2799,2253.0,1,5052.0,338.9,4713.1
LP001073,1,1,0,1,0,0,1,110000000.0,360,4226,1040.0,1,5266.0,305.6,4960.4
LP001086,1,0,0,0,0,0,1,35000000.0,360,1442,0.0,0,1442.0,97.2,1344.8
LP001087,0,0,0,1,0,0,1,120000000.0,360,3750,2083.0,1,5833.0,333.3,5499.7
LP001091,1,1,1,0,0,0,1,201000000.0,360,4166,3369.0,0,7535.0,558.3,6976.7
LP001095,1,0,0,0,0,0,1,74000000.0,360,3167,0.0,0,3167.0,205.6,2961.4
LP001097,1,0,1,0,0,1,1,106000000.0,360,4692,0.0,0,4692.0,294.4,4397.6
LP001098,1,1,0,0,0,0,1,114000000.0,360,3500,1667.0,1,5167.0,316.7,4850.3
LP001100,1,0,0,0,1,0,1,320000000.0,360,12500,3000.0,0,15500.0,888.9,14611.1
LP001106,1,1,0,0,0,0,1,128000000.0,360,2275,2067.0,1,4342.0,355.6,3986.4
LP001109,1,1,0,0,0,0,0,100000000.0,360,1828,1330.0,0,3158.0,277.8,2880.2
LP001112,0,1,0,0,0,0,1,144000000.0,360,3667,1459.0,1,5126.0,400.0,4726.0
LP001114,1,0,0,0,0,0,1,184000000.0,360,4166,7210.0,1,11376.0,511.1,10864.9
LP001116,1,0,0,0,0,0,1,110000000.0,360,3748,1668.0,1,5416.0,305.6,5110.4
LP001119,1,0,0,0,0,0,1,80000000.0,360,3600,0.0,0,3600.0,222.2,3377.8
LP001120,1,0,0,0,0,0,1,47000000.0,360,1800,1213.0,1,3013.0,130.6,2882.4
LP001123,1,1,0,0,0,0,1,75000000.0,360,2400,0.0,1,2400.0,208.3,2191.7
LP001131,1,1,0,0,0,0,1,134000000.0,360,3941,2336.0,1,6277.0,372.2,5904.8
LP001136,1,1,0,0,0,1,1,96000000.0,360,4695,0.0,1,4695.0,266.7,4428.3
LP001137,0,0,0,0,0,0,1,88000000.0,360,3410,0.0,1,3410.0,244.4,3165.6
LP001138,1,1,1,0,0,0,1,44000000.0,360,5649,0.0,1,5649.0,122.2,5526.8
LP001144,1,1,0,0,0,0,1,144000000.0,360,5821,0.0,1,5821.0,400.0,5421.0
LP001146,0,1,0,0,0,0,0,120000000.0,360,2645,3440.0,0,6085.0,333.3,5751.7
LP001151,0,0,0,0,0,0,1,144000000.0,360,4000,2275.0,1,6275.0,400.0,5875.0
LP001155,0,1,0,0,0,0,1,100000000.0,360,1928,1644.0,1,3572.0,277.8,3294.2
LP001157,0,0,0,0,0,0,1,120000000.0,360,3086,0.0,1,3086.0,333.3,2752.7
LP001164,0,0,0,0,0,0,1,112000000.0,360,4230,0.0,0,4230.0,311.1,3918.9
LP001179,1,1,0,1,0,0,1,134000000.0,360,4616,0.0,0,4616.0,372.2,4243.8
LP001186,0,1,1,0,0,1,0,286000000.0,360,11500,0.0,0,11500.0,794.4,10705.6
LP001194,1,1,0,1,0,0,1,97000000.0,360,2708,1167.0,1,3875.0,269.4,3605.6
LP001195,1,1,0,0,0,0,1,96000000.0,360,2132,1591.0,1,3723.0,266.7,3456.3
LP001197,1,1,0,0,0,0,1,135000000.0,360,3366,2200.0,0,5566.0,375.0,5191.0
LP001198,1,1,1,0,0,0,1,180000000.0,360,8080,2250.0,1,10330.0,500.0,9830.0
LP001199,1,1,0,1,0,0,1,144000000.0,360,3357,2859.0,1,6216.0,400.0,5816.0
LP001205,1,1,0,0,0,0,1,120000000.0,360,2500,3796.0,1,6296.0,333.3,5962.7
LP001206,1,1,0,0,1,0,1,99000000.0,360,3029,0.0,1,3029.0,275.0,2754.0
LP001207,1,1,0,0,0,1,0,165000000.0,180,2609,3449.0,0,6058.0,916.7,5141.3
LP001213,1,1,1,0,0,0,0,128000000.0,360,4945,0.0,0,4945.0,355.6,4589.4
LP001222,0,0,0,0,0,0,0,116000000.0,360,4166,0.0,0,4166.0,322.2,3843.8
LP001225,1,1,0,0,0,0,1,258000000.0,360,5726,4595.0,0,10321.0,716.7,9604.3
LP001228,1,0,0,0,0,0,0,126000000.0,180,3200,2254.0,0,5454.0,700.0,4754.0
LP001233,1,1,1,0,0,0,1,312000000.0,360,10750,0.0,1,10750.0,866.7,9883.3
LP001238,1,1,0,0,1,1,1,125000000.0,60,7100,0.0,1,7100.0,2083.3,5016.7
LP001241,0,0,0,0,0,0,0,136000000.0,360,4300,0.0,0,4300.0,377.8,3922.2
LP001243,1,1,0,0,0,0,1,172000000.0,360,3208,3066.0,1,6274.0,477.8,5796.2
LP001245,1,1,0,1,0,1,1,97000000.0,360,1875,1875.0,1,3750.0,269.4,3480.6
LP001248,1,0,0,0,0,0,1,81000000.0,300,3500,0.0,1,3500.0,270.0,3230.0
LP001250,1,1,0,0,1,0,0,95000000.0,360,4755,0.0,0,4755.0,263.9,4491.1
LP001253,1,1,0,0,1,1,1,187000000.0,360,5266,1774.0,1,7040.0,519.4,6520.6
LP001255,1,0,0,0,0,0,1,113000000.0,480,3750,0.0,0,3750.0,235.4,3514.6
LP001256,1,0,0,0,0,0,1,176000000.0,360,3750,4750.0,0,8500.0,488.9,8011.1
LP001259,1,1,1,0,0,1,1,110000000.0,360,1000,3022.0,0,4022.0,305.6,3716.4
LP001263,1,1,0,0,1,0,0,180000000.0,300,3167,4000.0,0,7167.0,600.0,6567.0
LP001264,1,1,0,0,1,1,1,130000000.0,360,3333,2166.0,1,5499.0,361.1,5137.9
LP001265,0,0,0,0,0,0,1,111000000.0,360,3846,0.0,1,3846.0,308.3,3537.7
LP001266,1,1,1,0,0,1,1,128000000.0,360,2395,0.0,1,2395.0,355.6,2039.4
LP001267,0,1,0,1,0,0,1,167000000.0,360,1378,1881.0,0,3259.0,463.9,2795.1
